original_id,artists,track name,emotionality,emotion_type,emotion_score,culture
112068,Şehinşah,Türlü Bela,0.2959879757140783,SADNESS,0.5093435049057007,Turkish
112071,Nev,Mühürlü Kaderim,0.18674459183869838,JOY,0.3808412551879883,Turkish
112072,Joker,Yaşamak Öldürür P2,0.20049030919957866,SADNESS,0.9867970943450928,Turkish
112074,Birileri,...aynı yer,0.2719672463598995,JOY,0.9518194794654846,Turkish
112075,Emir Can İğrek,Bıraktım Şaşırmayı,0.4443465407868562,SURPRISE,0.9709441661834716,Turkish
112076,Ceg,Onlar Acımı Bilemez Hacım,0.1749519514739466,JOY,0.9959561228752136,Turkish
112078,Athena,Geberiyorum (Nâzım Hikmet Ran Günler Şiiri),0.2680624516530759,SADNESS,0.946731984615326,Turkish
112079,Şehinşah,Kunteper,0.11694202540813711,ANGER,0.8148376941680908,Turkish
112080,Contra,Ötesi,0.0,ANGER,0.9904622435569764,Turkish
112082,Emre Fel,Sevgilim Biz Ayrıldık,0.40983879538848267,SADNESS,0.9873722791671752,Turkish
112083,Teoman,Seninim Son Kez,0.41169000112899357,ANGER,0.914705753326416,Turkish
112084,Hidra,Karıncalar,0.25612297155150304,SADNESS,0.9953072667121888,Turkish
112085,Sefir,Rehber,0.26269265708438666,SADNESS,0.6119734048843384,Turkish
112087,Şehinşah,Güller Ve Rhyme,0.04164156908782232,ANGER,0.6289631128311157,Turkish
112089,Genius Türkiye,Mart 2021 Tekli Yayınlama Takvimi,0.16253978245006928,JOY,0.8206664323806763,Turkish
112092,Ne Jupiter,Gökyüzüm Siyah Olsa Da,0.2843269848717534,FEAR,0.9936422109603882,Turkish
112093,Şanışer,Benim Aklımdan Zorum Var - Live,0.24583731230219305,FEAR,0.76829594373703,Turkish
112094,Sertab Erener,Dandini Dandini Dastana,0.5081057714900845,ANGER,0.3828654885292053,Turkish
112095,Umut Kaya,Öpüyorum,0.16364098308855157,SADNESS,0.9730436205863952,Turkish
112097,Tan Taşçı,Eski Sevgilim (Live),0.3010134016791289,JOY,0.9234562516212464,Turkish
112098,Emir Can İğrek,Franco,0.21458335560895433,ANGER,0.93730366230011,Turkish
112099,Saian,Ay Şarkısı,0.19009902872037573,FEAR,0.9713341593742372,Turkish
112103,Ahiyan,Akıllanamadım,0.4089104337322663,ANGER,0.8507758378982544,Turkish
112108,Ezhel,Gerçek Sandım,0.2016429311376591,SADNESS,0.9818423986434937,Turkish
112109,Anıl Piyancı,Yeşillendir,0.01908756231060263,FEAR,0.9556401371955872,Turkish
112111,Hidra,Bağırın,0.19256913648971904,SADNESS,0.9442179799079896,Turkish
112114,YoungQueenz,"Dragontown, Pt. III",0.3734744259543148,JOY,0.9503048658370972,Turkish
112115,Şebnem Ferah,Kalbim Mezar,0.07434038566413764,JOY,0.7278368473052979,Turkish
112116,Beta Berk Bayındır,Her Şey Aynı,0.3030866904175432,ANGER,0.6392353177070618,Turkish
112117,Büyük Ev Ablukada,BENİM KAFAM SİKTİRMİŞ GİTMİŞ,0.11947812377066741,ANGER,0.9893869161605836,Turkish
112118,Ezginin Günlüğü,Zerdaliler,0.4872169960255941,ANGER,0.7534574270248413,Turkish
112119,Saian,Birkaç Güzel Gün İçin,0.24792429716115702,SADNESS,0.7127531170845032,Turkish
112120,Şanışer,Belki Bir Gün Barışırız,0.13518510494051558,JOY,0.866226077079773,Turkish
112121,Pinhani,Bülbülüm Altın Kafeste,0.34414860220793114,LOVE,0.976747453212738,Turkish
112124,Saian,Yeni Beyaz,0.23758243645457156,SADNESS,0.5218939185142517,Turkish
112126,Hidra,Burası Dünya Değil,0.06131655381342546,SADNESS,0.9963476061820984,Turkish
112127,Contra,Hayırlara Ola,0.2606112085606256,ANGER,0.4691745936870575,Turkish
112128,Ceg,Kafamın İçi Dolu,0.23129351235590512,JOY,0.9975069165229796,Turkish
112129,Grogi,Cayır Cayır,0.1437177945616782,SADNESS,0.5741552710533142,Turkish
112131,İlhan İrem,Yemyeşil Bir Deniz,0.2895868658258164,JOY,0.476082295179367,Turkish
112132,Tan Taşçı,Ağla Ağla (Live),0.32043494687941426,SADNESS,0.99774432182312,Turkish
112139,No.1,Karanlıkta Güneşlenenler,0.04426483136042833,SURPRISE,0.9166619181632996,Turkish
112141,Sertab Erener,Fış Fış Kayıkçı,0.531716910180217,JOY,0.9973301887512208,Turkish
112142,Stabil,Aynalarımda,0.18536652645757762,SADNESS,0.6645976305007935,Turkish
112143,Haluk Levent,Ankara,0.2530685012343343,SADNESS,0.9970364570617676,Turkish
112144,Ajda Pekkan,Sana Neler Edeceğim,0.22760154856931966,JOY,0.464713841676712,Turkish
112146,Zakkum,Dile Kolay Kalbe Değil,0.19339205105845822,JOY,0.914189875125885,Turkish
112148,Tan Taşçı,Kalbime Gömüyorum (Live),0.3401371625711498,SADNESS,0.9900715351104736,Turkish
112149,Ahiyan,İstemem,0.2763079598249662,SADNESS,0.9981677532196044,Turkish
112150,Ufuk Beydemir,Ay Tenli Kadın,0.2610120429412971,LOVE,0.4738219380378723,Turkish
112153,Sansar Salvo,Koptu Kayış,0.1712606102133925,ANGER,0.9957935810089112,Turkish
112155,Şam,Kör Kurşun,0.1481995476479776,ANGER,0.9920755624771118,Turkish
112158,Ati242,NERDESİN,0.12923278678438666,ANGER,0.6657439470291138,Turkish
112160,Pinhani,Unutuldular,0.34122635441737204,SURPRISE,0.7499650716781616,Turkish
112161,Şanışer,Beni Kır,0.32676265731851317,JOY,0.9927114248275756,Turkish
112162,Birkan Nasuhoğlu,Sevda,0.363591927689048,LOVE,0.9600228667259216,Turkish
112163,No.1,İyilik Meleğim,0.2279062015440409,ANGER,0.9954965114593506,Turkish
112166,Gece,22,0.19285601580360223,JOY,0.465487390756607,Turkish
112172,Yaşlı Amca,Sanki Yapamadım,0.21759103286827375,SADNESS,0.8234971165657043,Turkish
112174,Yeni Türkü,Olmasa Mektubun,0.5043090305039319,SADNESS,0.9980514049530028,Turkish
112175,Burcu Güneş,Yansın Geceler,0.2514077894749051,SADNESS,0.6678830981254578,Turkish
112176,Pantera,Suicide Note Pt. I,0.22147238039885564,JOY,0.9603738188743592,Turkish
112177,Veys Çolak,Kimsenin Kimsesi,0.32606246065543915,ANGER,0.6955439448356628,Turkish
112179,Yüzyüzeyken Konuşuruz,Kendi Evimde Deplasmandayım,0.16936453399851015,SADNESS,0.9608378410339355,Turkish
112180,Batu Akdeniz,Ona Gitme,0.17167985823665033,SADNESS,0.9045012593269348,Turkish
112181,Güncel Gürsel Artıktay,Kanar,0.46473175727875626,SADNESS,0.4068138897418976,Turkish
112182,Gece,Derbeder,0.14976967382666498,SADNESS,0.9950942993164062,Turkish
112183,Şanışer,Güya,0.037382050924500615,JOY,0.9357829093933104,Turkish
112186,Emir Can İğrek,Beni Uğurla,0.41349768139237436,SADNESS,0.9867345094680786,Turkish
112188,Ati242,KAPA GÖZLERİNİ,0.12591469756421858,ANGER,0.8498247861862183,Turkish
112190,Sera Savaş,Anlatsam Anlatamam,0.29022038867802114,SADNESS,0.9788092970848083,Turkish
112191,Tan Taşçı,Ben Her Bahar Mutsuzum (Live),0.34269162377682827,SADNESS,0.9963055849075316,Turkish
112194,Kayra,Çok Yaşlıyım,0.006052275041310201,ANGER,0.6857054233551025,Turkish
112196,Teoman,Renkli Rüyalar Oteli,0.29360871718948867,JOY,0.9697572588920592,Turkish
112200,Zeynep Bastık,Ara,0.18838802520041742,LOVE,0.9903848171234132,Turkish
112203,Cem Karaca,Çökertme,0.246957594878094,SADNESS,0.9298498630523682,Turkish
112205,Sokrat St,Bunu Sen Seçtin,0.13404579971271108,SADNESS,0.9736846685409546,Turkish
112206,Sehabe,Siyah,0.2713664692315444,ANGER,0.7580470442771912,Turkish
112207,Teoman,Kalbin Yok mu,0.22330492157330809,LOVE,0.9819042086601256,Turkish
112208,Keişan,"Ateş, Elbet",0.27905356160376027,ANGER,0.9260197281837464,Turkish
112210,Cash Flow,600 Watt,0.1873581314872056,ANGER,0.9381812810897828,Turkish
112214,Ezhel,Sekiz 2,0.10519164465328099,ANGER,0.4533577561378479,Turkish
112215,Şanışer,Anlamı Yok,0.10913954078761015,ANGER,0.9969208240509032,Turkish
112216,No.1,Yokluğuma Alışma,0.14999340845213727,SADNESS,0.8472615480422974,Turkish
112217,seco (TUR),ANNE YAŞLANDIĞIMI HİSSEDİYORUM,0.21008349946413912,ANGER,0.6069305539131165,Turkish
112220,No.1,Sarhoş,0.18698693888565437,SADNESS,0.9532257914543152,Turkish
112221,Tan Taşçı,Beş Dakika (Live),0.313255298639844,SADNESS,0.9900291562080384,Turkish
112223,Şehinşah,İstila,0.09875318998094207,ANGER,0.9689805507659912,Turkish
112224,Hayki,Bu Kendime Son Gelişim,0.11886737675370013,JOY,0.922373592853546,Turkish
112226,Hidra,Lirikal Ağ,0.31876719068380266,JOY,0.9502065777778624,Turkish
112227,Bağzıları,Sizin Olsun Dünyalar,0.21124133930032463,SADNESS,0.9807658195495604,Turkish
112231,Şanışer,Yanıma Gelmesinler,0.20839414531376302,ANGER,0.803322434425354,Turkish
112232,Mavi Gri,Şiir Senin Yüzündür,0.2527360638800631,LOVE,0.9928117394447328,Turkish
112234,Teoman,Rapsodi İstanbul,0.14813563008680858,SADNESS,0.7134565114974976,Turkish
112235,Ceg,Herşeyin Bir Bedeli Var,0.1773046309916312,SADNESS,0.7848988175392151,Turkish
112237,Ceg,Dün Gece,0.2266368209279637,SADNESS,0.7779124975204468,Turkish
112238,İstanbul Trip,Kural Ne Bilmiyorum,0.11644989123649988,ANGER,0.5202348232269287,Turkish
112239,Saian,Kanunsuzlar,0.18890821270330665,JOY,0.6155869364738464,Turkish
112240,Ayten Alpman,Ben Böyleyim,0.35303070925007557,ANGER,0.9974331259727478,Turkish
112241,Can Bonomo,Bardak Taşıyor,0.08454139103313069,SADNESS,0.9959806203842164,Turkish
112243,Bağzıları,Allı Turnam,0.31252864550833326,SADNESS,0.995554506778717,Turkish
112244,Grup Yorum,Sevda Türküsü,0.3321730765099585,LOVE,0.9939627051353456,Turkish
112245,Sansar Salvo,RAPertuar,0.4001295806495072,JOY,0.7608810663223267,Turkish
112247,Sezen Aksu,Karşıyım,0.07495235029626388,ANGER,0.7928307056427002,Turkish
112249,Ajda Pekkan,Son Yolcu (Senza Fiato),0.215360803575613,SADNESS,0.9208920001983644,Turkish
112250,EDIS,Arıyorum,0.18192159662153723,SADNESS,0.9898430705070496,Turkish
112253,Gülşen,Seyre Dursun Aşk (Akustik),0.19015868495412808,SADNESS,0.9590604305267334,Turkish
112254,Lil Zey,Avaz Avaz,0.3246612184926538,JOY,0.5269051790237427,Turkish
112255,Anıl Piyancı,Keyif Pezevengi,0.04307734905206703,JOY,0.9924856424331664,Turkish
112258,Ati242,Dondu Puşt,0.1136900346542393,ANGER,0.9727134704589844,Turkish
112259,Asil Slang,BANA Bİ’ŞEY OLMAZ,0.2511324244894578,SADNESS,0.9462366104125975,Turkish
112260,TNK,Ruhum Boğaziçi,0.17284693047829985,LOVE,0.3607755899429321,Turkish
112261,Anıl Piyancı,BANA DİK DİK BAKMA,0.21784565063091726,JOY,0.8808681964874268,Turkish
112262,Şanışer,Artık Anlamıyorum,0.13458638363313966,ANGER,0.9978917241096495,Turkish
112263,Son Feci Bisiklet,Modern Zamanlar,0.2601863178288791,LOVE,0.9233137369155884,Turkish
112264,Killa Hakan,İlk Kural Saygı,0.08367745803114868,JOY,0.8464304208755493,Turkish
112266,Şehinşah,Intro (of 666),0.22336312027084607,FEAR,0.554804265499115,Turkish
112267,Şebnem Ferah,Babam Oğlum,0.22981605622848192,SADNESS,0.9945980310440063,Turkish
112269,Kayra,Hayırsız Evlat,0.06767086415185464,SADNESS,0.983737051486969,Turkish
112271,Şehinşah,Sendeliyorum,0.10923406668025643,SADNESS,0.8928536176681519,Turkish
112272,Şanışer,Yazamam Ecele,0.1345005769647799,SADNESS,0.9620153903961182,Turkish
112273,Gökhan Türkmen,Biraz Ayrılık,0.18082508431151625,SADNESS,0.7194632887840271,Turkish
112274,Cem Adrian,Duymak İstiyorum,0.46435165099084685,SADNESS,0.7546107769012451,Turkish
112275,Asya (TUR),Pişmanım,0.3580811562694518,SADNESS,0.9511646032333374,Turkish
112276,Gece,Yarım,0.13132612818747946,JOY,0.8103833794593811,Turkish
112277,Kibariye,Kara Gözlü Çingenem (Roman),0.2963458234313455,LOVE,0.6787610054016113,Turkish
112278,Sokrat St,Gregoryen,0.270043816610853,ANGER,0.7905737161636353,Turkish
112280,Şüphe (TUR),Bitsin,0.10483920311540404,SADNESS,0.8028550744056702,Turkish
112284,Yaşar,O’nun Vedası,0.3310870121413887,SADNESS,0.765925943851471,Turkish
112285,Melike Şahin,Nasır (Live at Zorlu PSM),0.33374473703261426,FEAR,0.5114221572875977,Turkish
112290,Barış Kocatürk,Kalmalısın,0.17574756877823786,JOY,0.9962220191955566,Turkish
112292,Yedinci Ev,Eninde Sonunda,0.11107771512704659,JOY,0.9972652196884156,Turkish
112293,Nazan Öncel,Beni Bu Koca Şehirde Yalnız Bırakma,0.061491735145301485,SADNESS,0.868894636631012,Turkish
112296,Cash Flow,Hergün Bela Devam,0.13462702023412143,JOY,0.619591474533081,Turkish
112299,Kamuran Akkor,Beni Kaybettin Artık,0.2591673693667016,SADNESS,0.9881658554077148,Turkish
112301,Şam,Artık,0.25354152307152983,ANGER,0.6995185017585754,Turkish
112302,Şanışer,Ölüm Aklımı Çelmek Üzere,0.361054040279439,ANGER,0.9821826815605164,Turkish
112303,Ocean (gråta djävulen),Ded Memories (soul food),0.12464541326693768,ANGER,0.968679666519165,Turkish
112307,Şam,Ailem İçin,0.2553898734469541,ANGER,0.5567516088485718,Turkish
112308,Kaan Tangöze,Bir Kız Bana Emmi Dedi,0.5282088006149215,ANGER,0.8581915497779846,Turkish
112311,Şehinşah,Hadi Yaparsın,0.18453068145157592,SADNESS,0.5256054997444153,Turkish
112312,Yaşlı Amca,Her Şey Sen,0.13368428849340624,ANGER,0.9521288871765136,Turkish
112315,Nazan Öncel,Beni Hatırla,0.2422145685294273,ANGER,0.7292203903198242,Turkish
112316,Çağrı Sinci,Daha Neler,0.14643857142330768,FEAR,0.9945300221443176,Turkish
112320,Melike Şahin,Aşk Bitti,0.39343507125127675,SADNESS,0.9406167268753052,Turkish
112321,Nova Norda,Yüreğim Ellerinde,0.3389284002190201,SADNESS,0.9825200438499452,Turkish
112322,Yedinci Ev,Şimdi,0.20009184238633745,SADNESS,0.9739505648612976,Turkish
112324,Sertab Erener,Dandini Dandini Dastana,0.5081057714900845,ANGER,0.3828654885292053,Turkish
112326,Cem Adrian,Hüzün Kovan Kuşu,0.42033078301525273,JOY,0.6797847151756287,Turkish
112327,Genius Türkçe Çeviriler,Drake - Pain 1993 ft. Playboi Carti (Türkçe Çeviri),0.14157468522287012,ANGER,0.5474616885185242,Turkish
112329,Arman Yekta,Agarta International,0.3766287693172702,ANGER,0.9970320463180542,Turkish
112332,KÖFN,Sensiz N’aparım Ben,0.19395372066722333,ANGER,0.4794410169124603,Turkish
112333,Kibariye,Gülü Soldurmam,0.2450927879616886,LOVE,0.8538486361503601,Turkish
112334,Ayna,Çayımın Şekeri,0.10473672112146737,JOY,0.9697614312171936,Turkish
112335,Mode XL,Toz Konduramazsın,0.2850136609044355,FEAR,0.9857529997825624,Turkish
112336,Gülden Karaböcek,Hatıran Yeter,0.2293397575602621,JOY,0.7630580067634583,Turkish
112339,Müzeyyen Senar,Akşam oldu hüzünlendim ben yine,0.4224739752998402,LOVE,0.9906399250030518,Turkish
112340,Allame,Fare Kapanı,0.08784467573605212,ANGER,0.7338548898696899,Turkish
112342,Ceg,Tanrı,0.17255827440828836,ANGER,0.6688631772994995,Turkish
112343,Saian,Al Sevgilim Kanser Ol Bununla,0.10568986453520607,SADNESS,0.9778838157653807,Turkish
112344,Yüksek Sadakat,Onlar Bizi Dinlerler,0.13589676269034592,JOY,0.6496410965919495,Turkish
112345,Zakkum,Mürekkep,0.20416952433677718,SADNESS,0.4340029060840606,Turkish
112346,Hayko Cepkin,Destina (Yeni Türkü Zamansız),0.29939007933353545,ANGER,0.5558938980102539,Turkish
112348,Sagopa Kajmer,Toplamam Yerde Kalır Kırıntın,0.25284367002725516,SADNESS,0.9763209223747252,Turkish
112351,Hepsi,Olmaz Böyle Şey,0.11896194956462003,SADNESS,0.8603169322013855,Turkish
112353,Birsen Tezer,Kadın,0.3792920971566326,FEAR,0.8367798328399658,Turkish
112358,Asil Slang,Çıkmadın Aklımdan,0.31630051632669187,ANGER,0.930681586265564,Turkish
112359,Khontkar,Hepsi Geçecek,0.20000339890951693,ANGER,0.5646389126777649,Turkish
112360,Ceza,Sabah Bastı Geceyi (Savaş Çocukları Part 2),0.06838691339936961,ANGER,0.9882508516311646,Turkish
112363,Khontkar,Hiç Uğraşma,0.1365821467276368,SADNESS,0.9337565302848816,Turkish
112364,punkart,Renkler (Sü),0.5221786194752709,SADNESS,0.9965877532958984,Turkish
112367,İkiye On Kala,Ben Bu Kafayla Napıcam,0.38995610394515035,SADNESS,0.9336217045783995,Turkish
112368,Güney Marlen,Nasıl Düştüm Bu Derde,0.2973244589374519,SADNESS,0.9430473446846008,Turkish
112369,Nilüfer,Ara Sıra Bazı Bazı,0.11890689247013331,JOY,0.9900528788566588,Turkish
112371,Peyk,Gidin,0.2529564946023139,SADNESS,0.9984851479530334,Turkish
112372,Yaku,LEGO,0.22807657533816875,FEAR,0.5051641464233398,Turkish
112375,Sezen Aksu,Yanmışım Sönmüşüm Ben,0.06394441092752542,JOY,0.773500919342041,Turkish
112377,Sagopa Kajmer,Bir Çok Kez Öldüm,0.18811680804947412,SADNESS,0.9985363483428956,Turkish
112380,Hayko Cepkin,Görmüyorsun,0.19546254883827996,SADNESS,0.970996618270874,Turkish
112381,Ferdi Tayfur,Ayrılacağım,0.22837549229381474,ANGER,0.8976439237594604,Turkish
112384,Ahiyan,Kurtulamadım,0.29500119679280934,ANGER,0.9967305660247804,Turkish
112386,Kibariye,Tepecikli,0.16641227984354942,JOY,0.6968647837638855,Turkish
112387,İlhan İrem,Konuşamıyorum (Sazlıklardan Havalanan),0.29217069431978276,FEAR,0.996815025806427,Turkish
112389,Rana Alagöz,Her Şey Bitmedi Bitemez,0.12672511447264395,SADNESS,0.9932947754859924,Turkish
112390,Teoman,Ruhun Sarışın,0.14777697120067584,SADNESS,0.9975029826164246,Turkish
112391,Sertab Erener,Benim Annem Güzel Annem,0.4748584047554262,LOVE,0.8601500988006592,Turkish
112392,Hidra,Kadınlar,0.11153111204563698,ANGER,0.6553478240966797,Turkish
112393,Ferhat Göçer,Adını Tek Geçerim,0.038526690794792734,ANGER,0.4153189361095428,Turkish
112394,Barış Kocatürk,Çirkin Olunca,0.2380094769429272,SADNESS,0.944133460521698,Turkish
112395,Hidra,Ölüme İnat 2,0.1703979931020374,FEAR,0.7226043939590454,Turkish
112396,Stabil,Ortaya Karışık,0.1888895292781136,SADNESS,0.78598552942276,Turkish
112398,No.1,Das Ist No.1,0.3228082273392747,SADNESS,0.6781843900680542,Turkish
112403,Can Bonomo,İyi Ki Doğdun,0.15653202337901462,SADNESS,0.9155451059341432,Turkish
112405,Sagopa Kajmer,Bir Dizi İz (2021 Tek Edit),0.2375184262807191,FEAR,0.9941709637641908,Turkish
112406,Çağrı Sinci,Kusursuz Gün,0.3004590742452108,SADNESS,0.9982197880744934,Turkish
112408,Suzan Hacigarip,Şimdi Biraz Uyu,0.3442387537738272,SADNESS,0.925359308719635,Turkish
112409,Yedinci Ev,O Olmasa,0.25647714558071627,SADNESS,0.998538374900818,Turkish
112410,Kezzo,Doğar Ya Güneş 2,0.1347512743748965,SADNESS,0.9723485112190248,Turkish
112412,Çilekeş,Yetmiyor,0.20563687310821332,LOVE,0.9630045294761658,Turkish
112414,İlhan İrem,Yazık Oldu Yarınlara,0.3040233161436417,SADNESS,0.993062436580658,Turkish
112416,Teoman,İstasyon İnsanları,0.2944075874484532,FEAR,0.4998572170734405,Turkish
112417,Sibel Can,Takiptesin,0.18738652783992593,FEAR,0.9950574636459352,Turkish
112418,UZI,Makina,0.2553519824535197,SADNESS,0.9255279898643494,Turkish
112421,No.1,Kırmızı Bandana,0.12076034716753009,FEAR,0.5056241750717163,Turkish
112422,Joker,Son Kale,0.07334492275489682,FEAR,0.9558586478233336,Turkish
112423,Genius Türkiye,Temmuz 2021 Tekli Yayınlama Takvimi,0.38795710585405746,SADNESS,0.4843314886093139,Turkish
112424,Allame,Şehir,0.048455316858096814,SADNESS,0.8777679800987244,Turkish
112425,Ceno,Yakaza Cypher Vol.3,0.13834336532549102,JOY,0.9930428266525269,Turkish
112426,Hidra,Ölüm Kalım Günü,0.20024226294841946,JOY,0.4772037267684936,Turkish
112427,Emel Sayın,Bak Yeşil Yeşil,0.39004780168229936,LOVE,0.9204056859016418,Turkish
112428,Teoman,Koma Hali,0.20724589254907916,FEAR,0.9047586917877196,Turkish
112431,Stap,Nasıl Bilirdiniz,0.20471015450895869,ANGER,0.6629723310470581,Turkish
112434,Rota,Bir Yalan Söyle Bana,0.10061150108232952,ANGER,0.99804425239563,Turkish
112435,Deniz Tekin,Hep Oturup Bekledim,0.3444104968174722,FEAR,0.9776809215545654,Turkish
112436,Contra,YERDEN YÜKSEK,0.1289222114282385,ANGER,0.9723569750785828,Turkish
112440,Can Bonomo,Bardak Taşıyor,0.08454139103313069,SADNESS,0.9959806203842164,Turkish
112441,Hidra,Kudurtan Şehir,0.1316483368273988,SADNESS,0.8007323145866394,Turkish
112442,Kargo,Mazi Kalbimde Bir Yaradır,0.10641137122685795,SADNESS,0.9964060187339784,Turkish
112445,Melike Şahin,Serim & Hepsi Geçti (Live at Bostancı Gösteri Merkezi),0.32593454305995195,SADNESS,0.9977444410324096,Turkish
112446,Ceg,Anormal,0.14957917019199496,ANGER,0.9977825284004213,Turkish
112447,Nazan Öncel,Erkekler de yanar,0.10014196605163245,ANGER,0.9877229928970336,Turkish
112450,Gülşen,Nazar Değmesin,0.24980600645111428,JOY,0.6076027750968933,Turkish
112451,EDIS,Martılar,0.09871320968255148,JOY,0.8803801536560059,Turkish
112455,Tanju Okan,Dostlarım,0.2995636854421722,SADNESS,0.9104444980621338,Turkish
112458,Old G,Yaktım,0.1426624653860653,JOY,0.9345479607582092,Turkish
112459,İmpala & Rebossa,LANETİM OL,0.282835753238647,JOY,0.9032087326049804,Turkish
112460,MFÖ (TUR),Bu Sabah Yağmur Var İstanbul’da,0.45913426995427786,JOY,0.9173067808151244,Turkish
112462,Resit Kemal,İhanetini Doldurdum,0.22289080587181578,ANGER,0.707184374332428,Turkish
112463,Yaşlı Amca,Kimsesiz,0.2626318686150134,ANGER,0.5371307730674744,Turkish
112464,Gülşen,Gözü Karalım,0.2606851463542069,JOY,0.4480509459972381,Turkish
112466,Emir Can İğrek,Kır Düğünü,0.23772728135493232,JOY,0.530292272567749,Turkish
112471,Aspova,Öpünce geçer mi,0.29292461559438715,SADNESS,0.9966391324996948,Turkish
112472,Hayki,Hangisi Doğru,0.08855715783528448,ANGER,0.9869303703308104,Turkish
112475,Teoman,Sus Konuşma,0.16974647852633865,SADNESS,0.9986159801483154,Turkish
112476,Levent Yüksel,Bi’ Daha (Kıvanç Kutlumuş Vers. 1 Remix),0.4239517054715055,ANGER,0.4066417515277862,Turkish
112480,Arda Gezer,Nefret,0.20221538043026474,JOY,0.9867497086524964,Turkish
112481,Nazan Öncel,Beyoğlu,0.12558314502648182,JOY,0.6277749538421631,Turkish
112485,Anıl Piyancı,Fiyasko,0.12488814923435174,JOY,0.8514439463615417,Turkish
112486,Revart,nereye giderdim,0.11436040851400367,JOY,0.995817482471466,Turkish
112488,No.1,Harikalar Diyarında,0.23906803069412802,JOY,0.9932461977005004,Turkish
112489,Leman Sam,İlla,0.2622027578798924,LOVE,0.87774258852005,Turkish
112490,No.1,Beklerken Durakta,0.07553477790678367,SADNESS,0.5749845504760742,Turkish
112491,Ceg,Uyuşana Dek,0.19665530830236624,SADNESS,0.9979471564292908,Turkish
